"","GeoCode","Boro_Location","GeoCodeLabel","PassengKilled","InJury_type","NofCases"
"320",33,"Manhattan 33rd Precinct","33rd Precinct",0,"PassengInjured",18
"321",73,"Brooklyn 73rd Precinct","73rd Precinct",0,"PassengInjured",18
"322",110,"Queens 110th Precinct","110th Precinct",0,"PassengInjured",18
"323",19,"Manhattan 19th Precinct","19th Precinct",0,"Bicycle",18
"324",83,"Brooklyn 83rd Precinct","83rd Precinct",0,"Bicycle",18
"325",41,"Bronx 41st Precinct","41st Precinct",0,"PassengInjured",17
"326",42,"Bronx 42nd Precinct","42nd Precinct",0,"PassengInjured",17
"327",90,"Brooklyn 90th Precinct","90th Precinct",0,"PassengInjured",17
"328",48,"Bronx 48th Precinct","48th Precinct",0,"PedestrInjured",17
"329",5,"Manhattan 5th Precinct","5th Precinct",0,"Bicycle",17
"330",79,"Brooklyn 79th Precinct","79th Precinct",0,"Bicycle",17
"331",20,"Manhattan 20th Precinct","20th Precinct",0,"Injury_or_Fatal_Collisions",16
"332",13,"Manhattan 13th Precinct","13th Precinct",0,"MotoristsInjured",16
"333",50,"Bronx 50th Precinct","50th Precinct",0,"PassengInjured",16
"334",79,"Brooklyn 79th Precinct","79th Precinct",0,"PassengInjured",16
"335",90,"Brooklyn 90th Precinct","90th Precinct",0,"CyclistsInjured",16
"336",13,"Manhattan 13th Precinct","13th Precinct",0,"PedestrInjured",16
"337",13,"Manhattan 13th Precinct","13th Precinct",0,"Bicycle",16
"338",66,"Brooklyn 66th Precinct","66th Precinct",0,"Bicycle",16
"339",114,"Queens 114th Precinct","114th Precinct",0,"Bicycle",16
"340",66,"Brooklyn 66th Precinct","66th Precinct",0,"MotoristsInjured",15
"341",76,"Brooklyn 76th Precinct","76th Precinct",0,"MotoristsInjured",15
"342",101,"Queens 101st Precinct","101st Precinct",0,"MotoristsInjured",15
"343",123,"S.Island 123rd Precinct","123rd Precinct",0,"MotoristsInjured",15
"344",111,"Queens 111th Precinct","111th Precinct",0,"PassengInjured",15
"345",83,"Brooklyn 83rd Precinct","83rd Precinct",0,"CyclistsInjured",15
"346",40,"Bronx 40th Precinct","40th Precinct",0,"PedestrInjured",15
"347",47,"Bronx 47th Precinct","47th Precinct",0,"PedestrInjured",15
"348",49,"Bronx 49th Precinct","49th Precinct",1,"PedestrInjured",15
"349",52,"Bronx 52nd Precinct","52nd Precinct",0,"PedestrInjured",15
"350",60,"Brooklyn 60th Precinct","60th Precinct",0,"PedestrInjured",15
"351",61,"Brooklyn 61st Precinct","61st Precinct",0,"PedestrInjured",15
"352",70,"Brooklyn 70th Precinct","70th Precinct",0,"PedestrInjured",15
"353",78,"Brooklyn 78th Precinct","78th Precinct",0,"MotoristsInjured",14
"354",5,"Manhattan 5th Precinct","5th Precinct",0,"PassengInjured",14
"355",120,"S.Island 120th Precinct","120th Precinct",0,"PassengInjured",14
"356",66,"Brooklyn 66th Precinct","66th Precinct",0,"CyclistsInjured",14
"357",19,"Manhattan 19th Precinct","19th Precinct",0,"PedestrInjured",14
"358",44,"Bronx 44th Precinct","44th Precinct",0,"PedestrInjured",14
"359",103,"Queens 103rd Precinct","103rd Precinct",0,"PedestrInjured",14
"360",105,"Queens 105th Precinct","105th Precinct",0,"PedestrInjured",14
"361",75,"Brooklyn 75th Precinct","75th Precinct",0,"Bicycle",14
"362",88,"Brooklyn 88th Precinct","88th Precinct",0,"Bicycle",14
"363",42,"Bronx 42nd Precinct","42nd Precinct",0,"MotoristsInjured",13
"364",63,"Brooklyn 63rd Precinct","63rd Precinct",0,"PassengInjured",13
"365",78,"Brooklyn 78th Precinct","78th Precinct",0,"PassengInjured",13
"366",94,"Brooklyn 94th Precinct","94th Precinct",0,"PassengInjured",13
